"","created_at","id","text","ticker"
"1","Thu Jan 02 06:10:09 +0000 2014",418625240462151680,"$TM Ford develops solar powered car for everyday use http://t.co/ChFH4ki07g","TM"
"2","Fri Jan 03 21:42:05 +0000 2014",419222157005422592,"$TM - Sales: Toyota slides as other Asian car brands gain -&gt; http://t.co/OBlmqbT7rF #stock #stocks #stockaction","TM"
"3","Fri Jan 03 20:42:33 +0000 2014",419207174964125696,"$TM - [video] December auto sales rate: 15.4 million -&gt; http://t.co/WgtsLhaRyv #stock #stocks #stockaction","TM"
"4","Thu Jan 09 12:19:08 +0000 2014",421254813201227776,"$TM - CES 2014: Cases, Cars and Connected Homes -&gt; http://t.co/1aMGvesZGg #stock #stocks #stockaction","TM"
"5","Thu Jan 09 12:19:08 +0000 2014",421254813201227776,"$TM - CES 2014: Cases, Cars and Connected Homes -&gt; http://t.co/1aMGvesZGg #stock #stocks #stockaction","TM"
"6","Tue Jan 14 13:51:49 +0000 2014",423090077074337792,"$TM 8 Cars &amp; Trucks Already Making a Splash in Detroit http://t.co/QyFTCchNAF","TM"
"7","Wed Jan 15 19:00:55 +0000 2014",423530252489355264,"RT @philstockworld: Balls to the Wall Wednesday - The Bull is Back!  $TSLA $AAPL $SPY $DIA $TM $F -- http://t.co/PwhWrWrPwu","TM"
"8","Wed Jan 15 01:05:42 +0000 2014",423259665347407872,"Ford Set To Grow http://t.co/cHHXFCOrjf $F, $GM, $TM»» hope it works","TM"
"9","Thu Jan 16 04:29:27 +0000 2014",423673328579383296,"RT @philstockworld: Balls to the Wall Wednesday - The Bull is Back!  $TSLA $AAPL $SPY $DIA $TM $F -- http://t.co/PwhWrWrPwu","TM"
"10","Thu Jan 16 11:08:55 +0000 2014",423773857674051584,"RT @philstockworld: Balls to the Wall Wednesday - The Bull is Back!  $TSLA $AAPL $SPY $DIA $TM $F -- http://t.co/PwhWrWrPwu","TM"
"11","Thu Jan 16 03:09:00 +0000 2014",423653082698764288,"RT @philstockworld: Balls to the Wall Wednesday - The Bull is Back!  $TSLA $AAPL $SPY $DIA $TM $F -- http://t.co/PwhWrWrPwu","TM"
"12","Tue Jan 21 03:52:31 +0000 2014",425475973354512384,".@BloombergNews why this is important is because TG (7282) is a #keiritsu and this directly relates to $TM's growth.","TM"
"13","Tue Jan 21 04:36:06 +0000 2014",425486941421707264,"$TM - Chinas pollution crisis threatens car sales -&gt; http://t.co/VwBOijxM58 #stock #stocks #stockaction","TM"
"14","Fri Jan 24 05:38:15 +0000 2014",426589745612062720,"$TM - Unions a threat to Toyota staying: Hockey -&gt; http://t.co/ArkhWl0dDv #stock #stocks #stockaction","TM"
"15","Sat Jan 25 22:53:33 +0000 2014",427212675257339904,"$TM Toyota Outsells GM Again in 2013 http://t.co/YFHmAQhRUW","TM"
"16","Mon Feb 03 05:27:50 +0000 2014",430211002806726656,"Can Superbowl commercials have an impact on stock prices? Check out http://t.co/r9aoMRL5gM to see $PCLN $KO $TM $BUD","TM"
"17","Tue Feb 04 15:50:18 +0000 2014",430730039546896384,"Weather is blamed for poor sales at $F $GM $TM and February's weather will be uncooperative, too. #invest #stocks","TM"
"18","Fri Feb 07 21:21:38 +0000 2014",431900585885855744,"$TM Maplesoft, Toyota Motor Manufacturing Canada, and University of Waterloo win Synergy Award 2013 http://t.co/iIqE8FSLE0","TM"
"19","Fri Feb 07 04:00:30 +0000 2014",431638576133324800,"$TM - Gas Prices Low Thanks To Cold, But Seen Rising Soon -&gt; http://t.co/YHyX03gkyB #stock #stocks #stockaction","TM"
"20","Sat Feb 08 20:21:06 +0000 2014",432247740077461504,"$TM - For Ford, Japan’s Economic Policy Is an Unfair Disadvantage -&gt; http://t.co/1YbqJkvs5a #stock #stocks #stockaction","TM"
"21","Mon Feb 10 19:30:42 +0000 2014",432959832203612160,"RT @ima_smKa: $TM$ #OnMyLevel Official video kumn soon!","TM"
"22","Thu Feb 13 22:27:19 +0000 2014",434091442835697664,"Venezuela: The Last Days of Private Enterprise http://t.co/TGfo2uKwm4  via @PanAmPost #venezuelanbonds $GM $PG $HLF $MELI $AMZN $AAPL $TM","TM"
"23","Thu Feb 13 22:27:19 +0000 2014",434091442835697664,"Venezuela: The Last Days of Private Enterprise http://t.co/TGfo2uKwm4  via @PanAmPost #venezuelanbonds $GM $PG $HLF $MELI $AMZN $AAPL $TM","TM"
"24","Fri Feb 21 19:31:35 +0000 2014",436946321014927360,"$TM Ford, GM Race To Rev Up China Sales Growth In 2014 http://t.co/tINAv6C7Zf","TM"
"25","Mon Mar 03 17:12:13 +0000 2014",440535126926057472,"$TM Nissan sales jump in February, Hyundai sags http://t.co/wVcjrrxDoo","TM"
"26","Wed Mar 05 04:45:02 +0000 2014",441071867802439680,"$TM - Toyotas New Concept Is More High-Tech Horse Than Car -&gt; http://t.co/scHvRnsk27 #stock #stocks #stockaction","TM"
"27","Wed Mar 05 16:23:01 +0000 2014",441247521046671360,"Ugly Auto Sales are Coming - $GM $F $TM $HMC http://t.co/mxhfVVDlfz","TM"
"28","Tue Mar 04 23:10:21 +0000 2014",440987642004385792,"$TM - Chrysler keeps minivan plant in Canada -- for now -&gt; http://t.co/nq5Fbn0qkH #stock #stocks #stockaction","TM"
"29","Sat Mar 08 19:17:11 +0000 2014",442378515128672256,"Exhaust Purification Device For Spark Ignition Internal Combustion Engine $TM #F01N #F01N3 http://t.co/YQ23XdSrNT http://t.co/kebatCrivj","TM"
"30","Tue Mar 11 16:57:05 +0000 2014",443430421398028288,"$TM - GM might not have to pay for most deaths tied to recall -&gt; http://t.co/9Y25iB1AMW #stock #stocks #stockaction","TM"
"31","Wed Mar 12 19:15:23 +0000 2014",443827613631401984,"$TM Toyota's Japanese Workers to Get Pay Hikes http://t.co/gEEr5xckFi","TM"
"32","Wed Mar 12 15:04:42 +0000 2014",443764527088140288,"$TM [video] GM's stock is a lemon in 2014 http://t.co/LMif3lOl9g","TM"
"33","Wed Mar 19 14:46:39 +0000 2014",446296699724500992,"RT @philstockworld: News You Can Use Ahead of the #Fed $FXI $EWJ $SPY $CHL $SNE $TM $USO $CL_F $TF_F $CL_F $FIG $BITCN $JPM -- http://t.co/…","TM"
