"","created_at","id","text","ticker"
"1","Wed Jan 01 15:01:12 +0000 2014",418396495692316672,"Apple Screwed Up Big Time http://t.co/Q2Pzk2VOMm $AMZN $AAPL","AMZN"
"2","Thu Jan 02 04:26:15 +0000 2014",418599093150027776,"RT @MadKindlePromos: Several incredible novels to help you to turbo-charge your Kindle! http://t.co/RH7tMr0I $AMZN  #bestsellers #books (vi…","AMZN"
"3","Thu Jan 02 14:59:42 +0000 2014",418758506083143680,"$AMZN is getting on my nerves. so much for that 400","AMZN"
"4","Fri Jan 03 09:42:23 +0000 2014",419041038565523456,"The first employees at Google, Amazon and Subway share stories of the companies' early days: http://t.co/vKzUCKvc0E $GOOG $AMZN","AMZN"
"5","Fri Jan 03 21:36:50 +0000 2014",419220835832836096,"RBC top 3 Internet longs for 2014: $GOOG (best play on online advertising); $AMZN (best play on online retail); $EBAY (poised for rebound)","AMZN"
"6","Sun Jan 05 03:07:18 +0000 2014",419666388328796160,"$AMZN Amazons Bezos airlifted off Galapagos in health scare http://t.co/v7blyIupMY","AMZN"
"7","Sat Jan 04 23:25:18 +0000 2014",419610520199909376,"$AMZN Amazons Bezos rescued by Ecuador Navy due to kidney stone -report http://t.co/gfNWGnRgpn","AMZN"
"8","Sun Jan 05 07:31:18 +0000 2014",419732826108354560,"$AMZN Amazons Bezos rescued by Ecuador Navy due to kidney stone: report http://t.co/fmL6kjEGP8","AMZN"
"9","Sun Jan 05 08:05:11 +0000 2014",419741353153531904,"Bezos airlifted from cruise after kidney stone attack http://t.co/qkzz2O1VTV $AMZN","AMZN"
"10","Sun Jan 05 20:31:46 +0000 2014",419929236984430592,"""@abnormalreturns: Sunday links: reflexive buybacks, economic optimism &amp; short vs long-term thinking http://t.co/4pMVcwHOkJ $AMZN $GOOG $FB""","AMZN"
"11","Mon Jan 06 16:42:55 +0000 2014",420234032849641472,"RT @SteveTappin: 9 Bar Charts: Apple vs. Amazon vs. Google http://t.co/UKCzOEDV2f $AMZN $GOOG Only market sentiment killing $AAPL #CEO","AMZN"
"12","Mon Jan 06 16:22:07 +0000 2014",420228798362050560,"$AMZN Wall Street Breakfast: Must-Know News [http://t.co/NzZSwypoCU, Inc., JPMorgan Chase ... http://t.co/zhucre193E","AMZN"
"13","Mon Jan 06 13:35:25 +0000 2014",420186846925422592,"Amazon tax expands to 3 more states- MSN Money http://t.co/UqlgRZffIG via @MSN_Money $AMZN","AMZN"
"14","Tue Jan 07 00:41:04 +0000 2014",420354363232894976,"If $AMZN starts accepting #bitcoin, #bitcoin will go to $2000 overnight.","AMZN"
"15","Tue Jan 07 11:35:42 +0000 2014",420519107122180096,"RT @SeekingAlpha: Build A Mini Long-Short Portfolio With These 6 High-Priced Shares http://t.co/J5ta6cvi98 $AAMC $AAPL $AMZN $BRK.A $TPRP $…","AMZN"
"16","Tue Jan 07 17:18:45 +0000 2014",420605438494011392,"$AMZN News Alert:  http://t.co/UKCvUig0xD  Updated options view:  http://t.co/lXT4h679zN","AMZN"
"17","Tue Jan 07 20:29:55 +0000 2014",420653547135332352,"$AMZN News Alert:  http://t.co/EgvZEwlqGx  Updated options view:  http://t.co/dG84XxVhuM","AMZN"
"18","Wed Jan 08 16:14:50 +0000 2014",420951741199155200,"$AMZN Amazon signs exclusive deal with CBS for 'Extant' http://t.co/kyNhRLhe2d","AMZN"
"19","Wed Jan 08 21:54:42 +0000 2014",421037271425376256,"RT @WSJ: A look inside Amazon's rigorous hiring program: http://t.co/N6DswSVCbN $AMZN http://t.co/eLFYhdd33Z","AMZN"
"20","Wed Jan 08 22:00:49 +0000 2014",421038810739535872,"RT @WSJ: A look inside Amazon's rigorous hiring program: http://t.co/N6DswSVCbN $AMZN http://t.co/eLFYhdd33Z","AMZN"
"21","Wed Jan 08 22:00:52 +0000 2014",421038823335006208,"RT @WSJ: A look inside Amazon's rigorous hiring program: http://t.co/N6DswSVCbN $AMZN http://t.co/eLFYhdd33Z","AMZN"
"22","Wed Jan 08 22:10:03 +0000 2014",421041134408699904,"RT @WSJ: A look inside Amazon's rigorous hiring program: http://t.co/N6DswSVCbN $AMZN http://t.co/eLFYhdd33Z","AMZN"
"23","Wed Jan 08 03:35:18 +0000 2014",420760598381481984,"$AMZN Comcast Q4 Video Subscriber Gain Sends Stock Up http://t.co/24f4q3z8TR","AMZN"
"24","Thu Jan 09 13:01:25 +0000 2014",421265454163062784,"RT @WSJ: Amazon's workforce has tripled in 3 years, growing faster than other tech giants. http://t.co/ZsvszzbIfm  $AMZN http://t.co/nRfkBM…","AMZN"
"25","Thu Jan 09 13:34:24 +0000 2014",421273754686464000,"So we have to wait until Feb 4 to find out if all this poor Retail is bc of $AMZN. #earnings","AMZN"
"26","Thu Jan 09 13:42:46 +0000 2014",421275860231282688,"RT @WSJ: Amazon's workforce has tripled in 3 years, growing faster than other tech giants. http://t.co/ZsvszzbIfm  $AMZN http://t.co/nRfkBM…","AMZN"
"27","Thu Jan 09 21:32:46 +0000 2014",421394139595304960,"Internet Stocks : Double Top ?  $SPY, $SPX, $ES_F, $FDN, $GOOG, $AMZN http://t.co/PTpaGZ5J7Y","AMZN"
"28","Thu Jan 09 12:47:41 +0000 2014",421261998043979776,"RT @WSJ: Amazon's workforce has tripled in 3 years, growing faster than other tech giants. http://t.co/ZsvszzbIfm  $AMZN http://t.co/nRfkBM…","AMZN"
"29","Thu Jan 09 12:49:25 +0000 2014",421262434268348416,"RT @WSJ: Amazon's workforce has tripled in 3 years, growing faster than other tech giants. http://t.co/ZsvszzbIfm  $AMZN http://t.co/nRfkBM…","AMZN"
"30","Thu Jan 09 12:53:09 +0000 2014",421263373796270080,"Very pleased that I'm still holding my $BIDU runners.  Long $AMZN $AAPL Short $CME","AMZN"
